"Estado","% Ocupación"
"Quintana Roo","25.83"
"Baja California Sur","25.55"
"Nuevo León","21.99"
"Durango","21.10"
"Tabasco","20.13"
"Tamaulipas","18.94"
"Chihuahua","17.90"
"Ciudad de México","16.34"
"Baja California","16.14"
"Sonora","14.52"
"Guerrero","14.32"
"Sinaloa","13.87"
"México","13.63"
"Coahuila de Zaragoza","12.20"
"Zacatecas","12.00"
"Puebla","11.91"
"Veracruz de Ignacio de La Llave","11.85"
"Oaxaca","11.54"
"Michoacán de Ocampo","11.30"
"Morelos","11.00"
"Hidalgo","10.95"
"Yucatán","10.94"
"Jalisco","10.67"
"Tlaxcala","10.45"
"Aguascalientes","9.20"
"Nayarit","8.25"
"Querétaro","6.65"
"Colima","5.76"
"Guanajuato","5.58"
"Campeche","3.74"
"Chiapas","3.29"
"San Luis Potosí","3.09"
