"Estado","% Ocupación"
"Ciudad de México","70.57"
"Baja California","60.84"
"Aguascalientes","58.26"
"México","55.66"
"Querétaro","48.49"
"Nuevo León","47.72"
"Zacatecas","42.94"
"Durango","35.51"
"Hidalgo","35.14"
"Sonora","34.63"
"Tabasco","34.43"
"Tlaxcala","32.81"
"Oaxaca","32.29"
"San Luis Potosí","30.57"
"Coahuila de Zaragoza","30.31"
"Jalisco","29.50"
"Morelos","28.57"
"Chihuahua","25.91"
"Michoacán de Ocampo","25.83"
"Guanajuato","24.90"
"Sinaloa","24.36"
"Baja California Sur","22.10"
"Puebla","18.29"
"Veracruz de Ignacio de La Llave","17.82"
"Yucatán","17.48"
"Guerrero","15.53"
"Colima","13.41"
"Tamaulipas","13.33"
"Quintana Roo","8.73"
"Nayarit","7.64"
"Chiapas","4.23"
"Campeche","2.23"
