"Estado","% Ocupación"
"Ciudad de México","88.11"
"México","82.44"
"Nuevo León","75.56"
"Colima","61.64"
"Tlaxcala","61.22"
"Aguascalientes","56.42"
"Puebla","56.02"
"Hidalgo","55.36"
"Baja California","51.46"
"Morelos","50.42"
"Querétaro","48.12"
"Oaxaca","48.02"
"Jalisco","46.80"
"San Luis Potosí","46.08"
"Coahuila de Zaragoza","45.88"
"Veracruz de Ignacio de La Llave","43.52"
"Tabasco","42.62"
"Guanajuato","42.56"
"Zacatecas","42.16"
"Michoacán de Ocampo","40.74"
"Sonora","39.92"
"Sinaloa","39.63"
"Guerrero","38.11"
"Nayarit","37.81"
"Durango","33.63"
"Baja California Sur","33.50"
"Yucatán","27.22"
"Chihuahua","25.55"
"Quintana Roo","24.87"
"Tamaulipas","21.67"
"Chiapas","14.53"
"Campeche","4.68"
