"Estado","% Ocupación"
"Ciudad de México","56.34"
"Puebla","51.79"
"México","47.51"
"Morelos","41.86"
"Oaxaca","37.34"
"Querétaro","35.02"
"Guerrero","34.07"
"Hidalgo","31.00"
"Nuevo León","30.70"
"Guanajuato","30.01"
"Michoacán de Ocampo","28.98"
"Veracruz de Ignacio de La Llave","26.72"
"Colima","25.37"
"Durango","25.27"
"Aguascalientes","23.79"
"Jalisco","23.03"
"Baja California Sur","21.31"
"Nayarit","21.27"
"Sinaloa","19.97"
"Tlaxcala","17.66"
"Tabasco","17.34"
"Quintana Roo","17.15"
"Zacatecas","16.66"
"Sonora","16.37"
"San Luis Potosí","15.27"
"Tamaulipas","14.74"
"Yucatán","12.80"
"Chihuahua","12.10"
"Coahuila de Zaragoza","9.87"
"Baja California","8.86"
"Chiapas","5.73"
"Campeche","4.09"
