"Estado","% Ocupación"
"Ciudad de México","38.32"
"Puebla","38.04"
"Morelos","34.49"
"Tlaxcala","30.18"
"México","29.09"
"Oaxaca","27.88"
"Querétaro","26.48"
"Guerrero","25.09"
"Hidalgo","20.69"
"Veracruz de Ignacio de La Llave","19.62"
"Tabasco","18.57"
"Michoacán de Ocampo","17.86"
"Durango","17.52"
"Nuevo León","16.64"
"Baja California Sur","15.86"
"Sinaloa","15.81"
"Aguascalientes","15.34"
"Sonora","15.27"
"Quintana Roo","15.26"
"Chihuahua","14.93"
"Colima","14.21"
"Nayarit","12.28"
"Tamaulipas","12.08"
"Yucatán","12.00"
"Guanajuato","11.99"
"Jalisco","11.61"
"Zacatecas","10.55"
"San Luis Potosí","8.90"
"Baja California","6.18"
"Coahuila de Zaragoza","6.05"
"Chiapas","3.61"
"Campeche","1.52"
