"Estado","% Ocupación"
"Querétaro","68.75"
"Durango","62.90"
"Ciudad de México","60.10"
"Aguascalientes","60.00"
"Chihuahua","58.82"
"Nuevo León","53.58"
"Baja California","47.25"
"Yucatán","44.73"
"Zacatecas","41.93"
"Oaxaca","39.58"
"Tamaulipas","39.49"
"Jalisco","34.73"
"San Luis Potosí","32.35"
"Guerrero","32.14"
"Veracruz de Ignacio de La Llave","32.00"
"México","29.64"
"Puebla","29.00"
"Michoacán de Ocampo","28.20"
"Guanajuato","27.52"
"Sinaloa","26.26"
"Hidalgo","25.77"
"Tabasco","24.56"
"Coahuila de Zaragoza","22.03"
"Quintana Roo","20.00"
"Sonora","18.18"
"Colima","16.66"
"Morelos","10.00"
"Chiapas","8.45"
"Nayarit","6.45"
"Baja California Sur","3.33"
"Campeche","0.00"
"Tlaxcala","0.00"
