"Estado","% Ocupación"
"Nuevo León","80.98"
"Tabasco","78.04"
"Nayarit","73.75"
"Coahuila de Zaragoza","68.75"
"Colima","66.00"
"Veracruz de Ignacio de La Llave","64.83"
"Puebla","63.78"
"Guanajuato","58.02"
"Tamaulipas","56.55"
"Sonora","54.09"
"Ciudad de México","52.22"
"México","46.71"
"Baja California Sur","43.70"
"Sinaloa","42.75"
"Quintana Roo","42.06"
"Zacatecas","40.65"
"Baja California","40.38"
"Yucatán","40.30"
"Tlaxcala","37.84"
"Hidalgo","37.50"
"Oaxaca","36.77"
"Michoacán de Ocampo","34.89"
"Guerrero","33.98"
"San Luis Potosí","33.94"
"Campeche","32.60"
"Chiapas","32.17"
"Morelos","30.73"
"Durango","28.61"
"Querétaro","25.70"
"Jalisco","24.86"
"Chihuahua","23.90"
"Aguascalientes","21.37"
