"Estado","% Ocupación"
"Nuevo León","74.46"
"Nayarit","74.17"
"Tabasco","68.36"
"Coahuila de Zaragoza","66.76"
"Veracruz de Ignacio de La Llave","61.40"
"Puebla","59.80"
"Colima","57.66"
"Guanajuato","55.21"
"Tamaulipas","50.64"
"Ciudad de México","50.00"
"Baja California Sur","48.09"
"México","44.64"
"Sonora","44.15"
"Baja California","42.75"
"Quintana Roo","41.62"
"Sinaloa","41.47"
"Oaxaca","41.44"
"San Luis Potosí","39.34"
"Yucatán","38.97"
"Hidalgo","38.75"
"Zacatecas","38.60"
"Morelos","32.03"
"Michoacán de Ocampo","31.61"
"Campeche","31.53"
"Chiapas","30.83"
"Guerrero","30.09"
"Querétaro","29.82"
"Durango","29.65"
"Aguascalientes","28.07"
"Tlaxcala","26.59"
"Jalisco","24.76"
"Chihuahua","24.12"
