"Estado","% Ocupación"
"Tlaxcala","100.00"
"Zacatecas","92.30"
"Ciudad de México","91.25"
"Nuevo León","89.35"
"México","86.30"
"Puebla","77.44"
"Morelos","75.51"
"Querétaro","75.00"
"Oaxaca","70.19"
"Aguascalientes","70.10"
"Guanajuato","69.44"
"Yucatán","67.56"
"Sinaloa","63.36"
"San Luis Potosí","57.64"
"Jalisco","57.35"
"Veracruz de Ignacio de La Llave","57.23"
"Nayarit","56.66"
"Tabasco","52.89"
"Baja California","51.28"
"Quintana Roo","50.87"
"Durango","48.27"
"Coahuila de Zaragoza","47.05"
"Tamaulipas","45.97"
"Chihuahua","42.20"
"Hidalgo","40.32"
"Guerrero","38.53"
"Sonora","37.93"
"Baja California Sur","33.33"
"Chiapas","30.61"
"Michoacán de Ocampo","28.94"
"Colima","28.57"
"Campeche","12.50"
