"Estado","% Ocupación"
"Ciudad de México","88.71"
"Zacatecas","87.87"
"Querétaro","80.00"
"México","69.86"
"Tlaxcala","62.50"
"Nuevo León","61.06"
"Durango","60.41"
"Oaxaca","55.71"
"Baja California","53.08"
"Yucatán","52.94"
"Hidalgo","51.42"
"Aguascalientes","50.96"
"Tabasco","50.00"
"Morelos","48.57"
"Sinaloa","44.94"
"Jalisco","41.61"
"Colima","40.00"
"Sonora","39.58"
"Guanajuato","37.36"
"Tamaulipas","36.84"
"Coahuila de Zaragoza","36.53"
"Veracruz de Ignacio de La Llave","35.87"
"Puebla","35.21"
"Michoacán de Ocampo","34.14"
"Chihuahua","32.60"
"San Luis Potosí","28.40"
"Guerrero","24.44"
"Quintana Roo","16.41"
"Baja California Sur","11.11"
"Campeche","9.67"
"Chiapas","4.54"
"Nayarit","0.00"
