"Estado","% Ocupación"
"Querétaro","75.00"
"Yucatán","60.00"
"Aguascalientes","56.92"
"Ciudad de México","56.79"
"Nuevo León","53.44"
"Puebla","50.53"
"Durango","49.15"
"Zacatecas","48.38"
"Michoacán de Ocampo","46.80"
"Baja California","46.15"
"Chihuahua","44.57"
"Tamaulipas","42.74"
"México","41.33"
"Nayarit","40.00"
"Oaxaca","38.39"
"Veracruz de Ignacio de La Llave","36.48"
"Guerrero","35.71"
"Jalisco","34.74"
"Tabasco","27.81"
"Quintana Roo","27.11"
"Sonora","26.08"
"Sinaloa","25.24"
"Tlaxcala","25.00"
"Coahuila de Zaragoza","24.61"
"San Luis Potosí","21.15"
"Morelos","20.00"
"Colima","16.66"
"Hidalgo","14.43"
"Guanajuato","13.76"
"Baja California Sur","11.42"
"Chiapas","6.49"
"Campeche","5.88"
