"Estado","% Ocupación"
"Nayarit","100.00"
"Querétaro","66.66"
"Tabasco","53.06"
"Zacatecas","44.44"
"Ciudad de México","41.13"
"Yucatán","40.00"
"Aguascalientes","32.75"
"Puebla","30.08"
"México","29.95"
"Guerrero","29.16"
"Chihuahua","28.20"
"Durango","23.68"
"Tamaulipas","22.89"
"Michoacán de Ocampo","22.58"
"Oaxaca","22.22"
"Veracruz de Ignacio de La Llave","21.56"
"Nuevo León","21.30"
"Sinaloa","20.90"
"Jalisco","19.72"
"Quintana Roo","17.33"
"San Luis Potosí","15.66"
"Hidalgo","12.00"
"Colima","11.11"
"Guanajuato","10.75"
"Coahuila de Zaragoza","10.25"
"Morelos","9.61"
"Baja California","9.52"
"Sonora","7.81"
"Campeche","6.25"
"Chiapas","4.76"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
