"Estado","% Ocupación"
"Baja California","62.24"
"Sonora","56.97"
"México","54.05"
"Nuevo León","53.31"
"Sinaloa","53.14"
"Puebla","52.83"
"Ciudad de México","52.64"
"Tabasco","52.56"
"Veracruz de Ignacio de La Llave","45.89"
"Guerrero","45.36"
"Tlaxcala","39.69"
"Tamaulipas","37.75"
"Chiapas","35.48"
"Oaxaca","35.03"
"San Luis Potosí","30.97"
"Jalisco","30.46"
"Aguascalientes","29.48"
"Colima","29.26"
"Quintana Roo","29.09"
"Querétaro","28.75"
"Yucatán","28.31"
"Nayarit","27.92"
"Durango","24.34"
"Coahuila de Zaragoza","23.71"
"Campeche","22.85"
"Guanajuato","22.23"
"Morelos","20.88"
"Hidalgo","17.79"
"Zacatecas","16.85"
"Michoacán de Ocampo","16.37"
"Chihuahua","15.83"
"Baja California Sur","14.52"
