"Estado","% Ocupación"
"Colima","45.26"
"Ciudad de México","43.12"
"Aguascalientes","41.50"
"Nuevo León","37.93"
"Chihuahua","33.84"
"Zacatecas","30.00"
"México","28.87"
"Querétaro","28.47"
"Coahuila de Zaragoza","28.25"
"Oaxaca","24.87"
"San Luis Potosí","23.79"
"Baja California","23.72"
"Sinaloa","23.21"
"Michoacán de Ocampo","23.18"
"Jalisco","23.13"
"Tabasco","22.43"
"Durango","21.90"
"Veracruz de Ignacio de La Llave","21.15"
"Baja California Sur","20.51"
"Nayarit","20.40"
"Tamaulipas","18.47"
"Puebla","18.39"
"Hidalgo","17.88"
"Guerrero","17.88"
"Yucatán","17.15"
"Morelos","16.76"
"Quintana Roo","16.45"
"Tlaxcala","15.49"
"Guanajuato","8.62"
"Sonora","8.44"
"Chiapas","5.01"
"Campeche","2.70"
