"Estado","% Ocupación"
"Ciudad de México","83.33"
"México","74.83"
"Nuevo León","60.11"
"Baja California","59.53"
"Querétaro","48.65"
"Hidalgo","43.50"
"Aguascalientes","42.85"
"Coahuila de Zaragoza","42.63"
"Sonora","42.08"
"Oaxaca","38.50"
"Tabasco","36.98"
"Tlaxcala","36.84"
"Zacatecas","36.57"
"Jalisco","35.27"
"Durango","35.13"
"Morelos","34.86"
"Puebla","34.55"
"Guanajuato","33.54"
"San Luis Potosí","32.37"
"Baja California Sur","28.57"
"Michoacán de Ocampo","23.24"
"Sinaloa","20.98"
"Veracruz de Ignacio de La Llave","20.73"
"Colima","20.38"
"Guerrero","19.91"
"Yucatán","19.33"
"Chihuahua","16.60"
"Tamaulipas","16.04"
"Nayarit","14.96"
"Quintana Roo","14.71"
"Chiapas","6.56"
"Campeche","1.53"
