"Estado","% Ocupación"
"Colima","58.52"
"Nayarit","57.51"
"Nuevo León","56.48"
"Ciudad de México","46.50"
"Hidalgo","40.35"
"México","39.50"
"Coahuila de Zaragoza","38.74"
"Durango","38.60"
"Puebla","37.67"
"Michoacán de Ocampo","37.45"
"Veracruz de Ignacio de La Llave","36.10"
"Guerrero","34.34"
"Zacatecas","31.88"
"Sinaloa","30.51"
"Tamaulipas","29.53"
"Baja California Sur","29.43"
"Chihuahua","29.24"
"Baja California","29.15"
"Aguascalientes","28.94"
"Querétaro","28.76"
"Guanajuato","27.80"
"Oaxaca","27.44"
"Yucatán","25.83"
"Tabasco","24.00"
"Jalisco","23.70"
"San Luis Potosí","22.20"
"Morelos","21.94"
"Quintana Roo","21.32"
"Sonora","15.87"
"Tlaxcala","12.58"
"Chiapas","7.80"
"Campeche","7.20"
