"Estado","% Ocupación"
"Zacatecas","93.93"
"Durango","86.15"
"Ciudad de México","77.50"
"Querétaro","74.28"
"Nuevo León","67.58"
"Aguascalientes","61.70"
"México","59.24"
"Oaxaca","43.42"
"Chihuahua","42.76"
"Yucatán","40.00"
"Sinaloa","39.53"
"Guanajuato","35.77"
"Michoacán de Ocampo","35.41"
"Tabasco","35.13"
"Coahuila de Zaragoza","34.42"
"Morelos","34.28"
"Hidalgo","34.02"
"Jalisco","33.92"
"Tamaulipas","29.80"
"San Luis Potosí","28.88"
"Baja California","26.47"
"Veracruz de Ignacio de La Llave","25.00"
"Guerrero","24.39"
"Baja California Sur","22.22"
"Sonora","18.75"
"Quintana Roo","17.85"
"Puebla","16.12"
"Colima","10.52"
"Chiapas","2.98"
"Campeche","2.94"
"Tlaxcala","0.00"
"Nayarit","0.00"
