"Estado","% Ocupación"
"Colima","46.46"
"Ciudad de México","43.62"
"Aguascalientes","42.23"
"Nuevo León","36.85"
"Zacatecas","31.67"
"México","29.75"
"Chihuahua","29.64"
"Querétaro","29.32"
"Coahuila de Zaragoza","28.32"
"Baja California","26.00"
"Sinaloa","24.54"
"Michoacán de Ocampo","24.31"
"San Luis Potosí","23.80"
"Tabasco","23.78"
"Durango","23.23"
"Jalisco","23.17"
"Oaxaca","22.08"
"Baja California Sur","22.00"
"Puebla","21.34"
"Veracruz de Ignacio de La Llave","20.29"
"Tamaulipas","19.67"
"Hidalgo","18.89"
"Nayarit","18.36"
"Guerrero","17.31"
"Quintana Roo","17.01"
"Morelos","15.97"
"Tlaxcala","15.60"
"Yucatán","14.52"
"Sonora","9.56"
"Guanajuato","7.30"
"Chiapas","4.24"
"Campeche","2.70"
