"Estado","% Ocupación"
"Chihuahua","62.97"
"Aguascalientes","54.50"
"Durango","53.60"
"Nuevo León","51.68"
"Ciudad de México","45.17"
"Zacatecas","44.72"
"Coahuila de Zaragoza","35.22"
"Querétaro","30.66"
"México","29.99"
"Baja California","28.66"
"Oaxaca","28.01"
"Colima","27.45"
"San Luis Potosí","26.31"
"Morelos","21.85"
"Hidalgo","21.64"
"Sinaloa","21.48"
"Jalisco","19.54"
"Guerrero","18.48"
"Baja California Sur","17.67"
"Tamaulipas","17.27"
"Veracruz de Ignacio de La Llave","16.55"
"Michoacán de Ocampo","15.76"
"Tabasco","14.72"
"Sonora","14.55"
"Puebla","12.23"
"Tlaxcala","11.53"
"Guanajuato","11.22"
"Nayarit","10.42"
"Yucatán","8.90"
"Quintana Roo","7.35"
"Chiapas","3.52"
"Campeche","0.56"
