"Estado","% Ocupación"
"Ciudad de México","68.58"
"México","59.39"
"Baja California","52.19"
"Sinaloa","51.81"
"Guerrero","45.45"
"Tlaxcala","35.29"
"Oaxaca","32.23"
"Chiapas","30.70"
"Puebla","28.75"
"Veracruz de Ignacio de La Llave","28.34"
"Tabasco","24.63"
"Quintana Roo","24.16"
"Querétaro","23.52"
"Nayarit","22.64"
"Hidalgo","22.37"
"Chihuahua","21.39"
"Sonora","18.87"
"Yucatán","18.75"
"Morelos","17.47"
"San Luis Potosí","17.07"
"Campeche","17.04"
"Colima","12.19"
"Baja California Sur","11.11"
"Aguascalientes","10.90"
"Michoacán de Ocampo","10.79"
"Nuevo León","10.65"
"Guanajuato","10.63"
"Coahuila de Zaragoza","9.90"
"Durango","9.21"
"Tamaulipas","8.13"
"Jalisco","5.64"
"Zacatecas","5.55"
