"Estado","% Ocupación"
"Chihuahua","59.01"
"Nuevo León","56.88"
"Durango","52.78"
"Nayarit","45.91"
"Ciudad de México","45.02"
"Coahuila de Zaragoza","42.38"
"Hidalgo","39.04"
"México","37.66"
"Colima","36.95"
"Zacatecas","30.74"
"Oaxaca","30.45"
"Guerrero","29.59"
"Michoacán de Ocampo","26.08"
"Veracruz de Ignacio de La Llave","25.76"
"Aguascalientes","25.67"
"Puebla","23.75"
"Querétaro","22.77"
"Sinaloa","21.89"
"Guanajuato","20.77"
"Jalisco","20.52"
"Baja California Sur","19.92"
"San Luis Potosí","19.60"
"Quintana Roo","19.14"
"Tabasco","19.06"
"Baja California","18.99"
"Tlaxcala","16.93"
"Tamaulipas","16.91"
"Sonora","16.69"
"Morelos","14.25"
"Yucatán","13.87"
"Campeche","5.06"
"Chiapas","4.20"
