"Estado","% Ocupación"
"Nuevo León","53.70"
"Aguascalientes","50.45"
"Colima","45.37"
"Ciudad de México","41.80"
"San Luis Potosí","39.30"
"Durango","39.08"
"Puebla","36.84"
"Baja California","35.47"
"Zacatecas","32.67"
"Jalisco","31.83"
"México","31.48"
"Querétaro","31.11"
"Veracruz de Ignacio de La Llave","31.07"
"Yucatán","29.08"
"Coahuila de Zaragoza","27.58"
"Michoacán de Ocampo","27.30"
"Sinaloa","27.27"
"Baja California Sur","27.10"
"Tlaxcala","27.06"
"Hidalgo","26.78"
"Tamaulipas","25.92"
"Tabasco","25.63"
"Oaxaca","25.00"
"Quintana Roo","23.74"
"Chihuahua","21.05"
"Morelos","18.70"
"Nayarit","18.43"
"Sonora","14.37"
"Guanajuato","13.87"
"Guerrero","13.08"
"Chiapas","7.72"
"Campeche","7.40"
