"Estado","% Ocupación"
"Chihuahua","56.99"
"Aguascalientes","54.58"
"Zacatecas","45.75"
"Durango","45.63"
"Nuevo León","45.23"
"Ciudad de México","44.18"
"Coahuila de Zaragoza","36.76"
"Querétaro","33.44"
"Oaxaca","31.52"
"México","30.07"
"Baja California","28.28"
"San Luis Potosí","27.98"
"Colima","21.87"
"Sinaloa","21.24"
"Jalisco","20.04"
"Morelos","18.40"
"Guerrero","18.22"
"Sonora","18.01"
"Hidalgo","17.15"
"Michoacán de Ocampo","16.98"
"Baja California Sur","15.50"
"Puebla","14.57"
"Tabasco","14.16"
"Veracruz de Ignacio de La Llave","13.98"
"Tamaulipas","13.58"
"Guanajuato","11.65"
"Yucatán","10.75"
"Nayarit","9.58"
"Tlaxcala","9.16"
"Quintana Roo","6.95"
"Chiapas","1.23"
"Campeche","0.58"
