"Estado","% Ocupación"
"Baja California","71.77"
"México","66.03"
"Ciudad de México","60.62"
"Chiapas","49.35"
"Veracruz de Ignacio de La Llave","48.99"
"Puebla","44.82"
"Sonora","44.10"
"Tabasco","43.25"
"Tlaxcala","41.17"
"Guerrero","40.85"
"Sinaloa","40.28"
"Querétaro","36.99"
"Morelos","35.71"
"Oaxaca","34.12"
"Quintana Roo","28.46"
"Nayarit","27.63"
"Baja California Sur","27.08"
"Yucatán","25.00"
"Colima","23.91"
"Chihuahua","23.38"
"San Luis Potosí","22.85"
"Hidalgo","21.95"
"Aguascalientes","20.71"
"Coahuila de Zaragoza","19.76"
"Zacatecas","19.17"
"Nuevo León","17.61"
"Tamaulipas","17.22"
"Jalisco","16.66"
"Michoacán de Ocampo","16.66"
"Campeche","15.71"
"Guanajuato","8.57"
"Durango","8.00"
