"Estado","% Ocupación"
"Ciudad de México","71.47"
"Baja California","58.75"
"México","56.47"
"Aguascalientes","56.03"
"Nuevo León","49.53"
"Querétaro","48.78"
"Zacatecas","45.75"
"Hidalgo","41.88"
"Sonora","40.00"
"Durango","38.53"
"Tlaxcala","37.30"
"Tabasco","36.00"
"Coahuila de Zaragoza","33.20"
"Jalisco","31.49"
"Oaxaca","30.68"
"San Luis Potosí","28.75"
"Guanajuato","25.86"
"Michoacán de Ocampo","24.48"
"Morelos","24.36"
"Chihuahua","24.36"
"Baja California Sur","24.35"
"Puebla","20.12"
"Sinaloa","20.00"
"Veracruz de Ignacio de La Llave","18.56"
"Guerrero","16.19"
"Yucatán","15.90"
"Tamaulipas","12.96"
"Colima","11.45"
"Quintana Roo","10.40"
"Nayarit","5.59"
"Chiapas","3.87"
"Campeche","2.79"
