"Estado","% Ocupación"
"Ciudad de México","60.14"
"Baja California","58.75"
"México","46.15"
"Morelos","41.17"
"Guerrero","33.33"
"Puebla","31.66"
"Yucatán","28.57"
"Veracruz de Ignacio de La Llave","28.57"
"Sinaloa","27.27"
"Michoacán de Ocampo","25.71"
"Oaxaca","20.00"
"Guanajuato","20.00"
"Baja California Sur","18.18"
"Jalisco","17.39"
"Quintana Roo","16.66"
"Sonora","15.15"
"Querétaro","13.79"
"Chiapas","11.11"
"Nuevo León","7.62"
"Tabasco","6.25"
"Chihuahua","6.15"
"Coahuila de Zaragoza","5.26"
"Tamaulipas","3.92"
"San Luis Potosí","3.63"
"Hidalgo","0.00"
"Campeche","0.00"
"Aguascalientes","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Zacatecas","0.00"
"Tlaxcala","0.00"
"Durango","0.00"
