"Estado","% Ocupación"
"Colima","100.00"
"Ciudad de México","75.89"
"Tlaxcala","71.42"
"México","66.66"
"Morelos","64.28"
"Baja California","62.33"
"Veracruz de Ignacio de La Llave","59.81"
"Guerrero","57.89"
"Hidalgo","52.94"
"Oaxaca","43.47"
"Sinaloa","42.85"
"Yucatán","42.22"
"Querétaro","41.93"
"Quintana Roo","41.66"
"Puebla","38.57"
"Chiapas","35.71"
"Tabasco","35.29"
"Michoacán de Ocampo","20.51"
"Chihuahua","18.98"
"Guanajuato","18.42"
"Coahuila de Zaragoza","16.66"
"San Luis Potosí","16.21"
"Campeche","14.28"
"Sonora","13.79"
"Tamaulipas","13.33"
"Nuevo León","12.77"
"Durango","11.90"
"Jalisco","11.49"
"Aguascalientes","11.11"
"Zacatecas","4.76"
"Baja California Sur","0.00"
"Nayarit","0.00"
