"Estado","% Ocupación"
"Aguascalientes","44.87"
"Ciudad de México","40.96"
"Nuevo León","39.15"
"Colima","33.64"
"San Luis Potosí","32.83"
"México","31.02"
"Zacatecas","30.92"
"Baja California","28.41"
"Durango","28.28"
"Querétaro","28.21"
"Veracruz de Ignacio de La Llave","27.00"
"Coahuila de Zaragoza","26.47"
"Jalisco","25.63"
"Michoacán de Ocampo","24.90"
"Sinaloa","23.88"
"Oaxaca","23.13"
"Chihuahua","20.16"
"Tamaulipas","19.66"
"Tabasco","19.38"
"Puebla","19.12"
"Tlaxcala","18.65"
"Quintana Roo","17.70"
"Hidalgo","17.15"
"Nayarit","17.03"
"Yucatán","16.33"
"Baja California Sur","15.78"
"Guerrero","15.13"
"Morelos","14.64"
"Guanajuato","11.71"
"Sonora","11.62"
"Campeche","10.14"
"Chiapas","3.10"
