"Estado","% Ocupación"
"Tlaxcala","100.00"
"Ciudad de México","86.20"
"Zacatecas","85.00"
"Querétaro","80.55"
"México","71.50"
"Yucatán","65.71"
"Guanajuato","61.62"
"Oaxaca","60.90"
"Nuevo León","60.00"
"Jalisco","50.99"
"Tabasco","49.23"
"Puebla","47.23"
"Morelos","45.71"
"Aguascalientes","44.82"
"San Luis Potosí","40.00"
"Durango","39.28"
"Veracruz de Ignacio de La Llave","37.76"
"Tamaulipas","36.52"
"Michoacán de Ocampo","35.48"
"Sinaloa","34.51"
"Guerrero","34.18"
"Hidalgo","33.33"
"Baja California","30.00"
"Colima","29.41"
"Coahuila de Zaragoza","28.57"
"Chihuahua","22.85"
"Quintana Roo","19.48"
"Sonora","18.51"
"Baja California Sur","14.28"
"Chiapas","7.35"
"Nayarit","6.66"
"Campeche","3.12"
