"Estado","% Ocupación"
"Yucatán","39.79"
"Ciudad de México","39.27"
"Tabasco","32.96"
"Chihuahua","32.12"
"Querétaro","31.44"
"México","30.65"
"Michoacán de Ocampo","26.56"
"Aguascalientes","25.87"
"Puebla","24.56"
"Oaxaca","22.52"
"Veracruz de Ignacio de La Llave","22.22"
"Colima","22.05"
"Sinaloa","21.45"
"Hidalgo","20.75"
"Tlaxcala","18.25"
"Nuevo León","18.04"
"San Luis Potosí","17.79"
"Durango","16.40"
"Morelos","16.16"
"Guerrero","15.83"
"Jalisco","14.53"
"Tamaulipas","12.45"
"Baja California Sur","11.76"
"Sonora","10.81"
"Nayarit","10.57"
"Zacatecas","10.40"
"Guanajuato","9.74"
"Quintana Roo","9.54"
"Baja California","8.22"
"Coahuila de Zaragoza","8.17"
"Chiapas","6.10"
"Campeche","5.51"
