"Estado","% Ocupación"
"Tlaxcala","100.00"
"Ciudad de México","85.92"
"México","84.03"
"Zacatecas","81.81"
"Querétaro","81.08"
"Puebla","75.71"
"Nuevo León","72.89"
"Tabasco","63.09"
"Oaxaca","58.69"
"Aguascalientes","58.09"
"Yucatán","55.55"
"Durango","54.16"
"Morelos","53.65"
"Hidalgo","47.76"
"Jalisco","47.71"
"Guanajuato","46.59"
"Sinaloa","46.15"
"Sonora","39.34"
"Veracruz de Ignacio de La Llave","34.22"
"Coahuila de Zaragoza","32.75"
"Tamaulipas","30.92"
"Baja California","29.54"
"Michoacán de Ocampo","29.26"
"Chihuahua","27.90"
"Quintana Roo","26.74"
"San Luis Potosí","23.86"
"Guerrero","19.10"
"Baja California Sur","11.11"
"Chiapas","8.06"
"Campeche","2.85"
"Nayarit","0.00"
"Colima","0.00"
