"Estado","% Ocupación"
"Nuevo León","69.26"
"Tabasco","62.83"
"Colima","51.68"
"Baja California","50.52"
"Zacatecas","50.00"
"Veracruz de Ignacio de La Llave","49.87"
"Puebla","48.91"
"Ciudad de México","48.36"
"San Luis Potosí","46.19"
"Sinaloa","45.79"
"Tlaxcala","44.44"
"Yucatán","42.96"
"Coahuila de Zaragoza","42.71"
"México","42.19"
"Aguascalientes","41.72"
"Tamaulipas","35.96"
"Quintana Roo","35.59"
"Nayarit","34.34"
"Durango","31.68"
"Oaxaca","30.90"
"Jalisco","29.60"
"Baja California Sur","27.86"
"Querétaro","27.30"
"Sonora","26.92"
"Guerrero","26.31"
"Hidalgo","25.59"
"Chiapas","22.85"
"Morelos","22.72"
"Michoacán de Ocampo","21.61"
"Chihuahua","20.70"
"Campeche","20.28"
"Guanajuato","19.55"
