"Estado","% Ocupación"
"Puebla","30.29"
"Morelos","27.79"
"Ciudad de México","26.70"
"Guerrero","25.19"
"México","23.03"
"Durango","22.90"
"Chihuahua","22.47"
"Hidalgo","21.90"
"Oaxaca","19.43"
"Baja California Sur","19.24"
"Querétaro","18.50"
"Quintana Roo","17.86"
"Aguascalientes","17.12"
"Sonora","15.52"
"Michoacán de Ocampo","14.60"
"Veracruz de Ignacio de La Llave","13.49"
"Sinaloa","13.08"
"Nuevo León","12.30"
"Tabasco","12.15"
"Tlaxcala","11.84"
"Tamaulipas","11.59"
"Yucatán","11.26"
"Nayarit","9.00"
"Jalisco","8.66"
"San Luis Potosí","8.18"
"Baja California","8.15"
"Guanajuato","7.73"
"Colima","7.58"
"Zacatecas","6.73"
"Coahuila de Zaragoza","4.59"
"Chiapas","4.29"
"Campeche","3.89"
