"Estado","% Ocupación"
"Nuevo León","64.65"
"Nayarit","60.47"
"Colima","55.02"
"Hidalgo","54.27"
"Ciudad de México","46.63"
"Coahuila de Zaragoza","41.93"
"Zacatecas","40.71"
"Veracruz de Ignacio de La Llave","39.69"
"Durango","38.25"
"Puebla","38.05"
"Michoacán de Ocampo","38.02"
"México","35.59"
"Aguascalientes","35.58"
"Tamaulipas","33.71"
"Baja California","33.24"
"Sinaloa","32.82"
"Guanajuato","31.21"
"Guerrero","31.18"
"Yucatán","30.77"
"Morelos","28.84"
"Baja California Sur","27.75"
"Oaxaca","26.72"
"San Luis Potosí","26.56"
"Quintana Roo","26.45"
"Chihuahua","26.41"
"Querétaro","26.35"
"Sonora","24.90"
"Jalisco","23.62"
"Tabasco","21.42"
"Tlaxcala","11.69"
"Campeche","10.51"
"Chiapas","9.72"
