"Estado","% Ocupación"
"Nuevo León","59.55"
"Nayarit","57.21"
"Colima","52.19"
"Hidalgo","49.74"
"Ciudad de México","46.18"
"Coahuila de Zaragoza","43.45"
"México","37.91"
"Veracruz de Ignacio de La Llave","37.37"
"Durango","37.13"
"Michoacán de Ocampo","37.01"
"Puebla","33.70"
"Aguascalientes","33.56"
"Sinaloa","31.26"
"Tamaulipas","30.72"
"Zacatecas","30.48"
"Baja California","30.26"
"Querétaro","30.21"
"Guerrero","29.84"
"Baja California Sur","28.37"
"Guanajuato","27.84"
"Oaxaca","26.31"
"Tabasco","25.43"
"Yucatán","24.97"
"Chihuahua","24.37"
"Quintana Roo","23.17"
"San Luis Potosí","23.09"
"Jalisco","22.77"
"Morelos","22.22"
"Sonora","18.02"
"Tlaxcala","11.56"
"Chiapas","9.47"
"Campeche","9.47"
