"Estado","% Ocupación"
"Ciudad de México","38.64"
"Chihuahua","30.09"
"Tabasco","29.88"
"Querétaro","27.89"
"Colima","25.71"
"Yucatán","25.48"
"México","25.41"
"Aguascalientes","25.12"
"Oaxaca","24.08"
"Puebla","22.87"
"Tlaxcala","22.48"
"Sinaloa","21.85"
"Morelos","21.37"
"Michoacán de Ocampo","20.07"
"Veracruz de Ignacio de La Llave","19.11"
"Hidalgo","17.72"
"Sonora","17.17"
"Baja California Sur","16.58"
"Durango","16.29"
"Nuevo León","16.13"
"Guerrero","13.93"
"San Luis Potosí","13.77"
"Jalisco","12.77"
"Tamaulipas","12.62"
"Baja California","10.54"
"Zacatecas","9.24"
"Guanajuato","9.21"
"Quintana Roo","8.29"
"Nayarit","7.47"
"Coahuila de Zaragoza","6.77"
"Chiapas","6.25"
"Campeche","3.17"
