"Estado","% Ocupación"
"Ciudad de México","80.89"
"Tlaxcala","71.42"
"Baja California","68.11"
"Veracruz de Ignacio de La Llave","57.69"
"México","57.66"
"Oaxaca","57.57"
"Hidalgo","50.00"
"Quintana Roo","50.00"
"Guerrero","48.48"
"Tabasco","48.27"
"Morelos","46.42"
"Sinaloa","42.85"
"Puebla","42.18"
"Chihuahua","33.33"
"Colima","33.33"
"Querétaro","27.58"
"Yucatán","26.66"
"Michoacán de Ocampo","22.58"
"Guanajuato","22.36"
"Zacatecas","19.04"
"Coahuila de Zaragoza","16.66"
"Sonora","14.63"
"Tamaulipas","12.85"
"Chiapas","11.11"
"Nuevo León","11.01"
"Jalisco","9.09"
"Durango","6.25"
"Campeche","5.55"
"San Luis Potosí","3.12"
"Aguascalientes","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
