"Estado","% Ocupación"
"Baja California","62.06"
"Ciudad de México","61.50"
"México","61.40"
"Sonora","52.69"
"Veracruz de Ignacio de La Llave","52.04"
"Guerrero","50.56"
"Puebla","49.42"
"Tlaxcala","43.75"
"Oaxaca","41.17"
"Sinaloa","39.82"
"Chiapas","39.22"
"Tabasco","38.23"
"Querétaro","38.03"
"Colima","34.04"
"Morelos","30.90"
"Yucatán","29.62"
"Baja California Sur","28.00"
"Hidalgo","27.27"
"San Luis Potosí","27.00"
"Nayarit","26.50"
"Quintana Roo","26.08"
"Aguascalientes","25.87"
"Chihuahua","24.32"
"Nuevo León","23.39"
"Campeche","23.07"
"Coahuila de Zaragoza","20.77"
"Jalisco","19.56"
"Tamaulipas","19.24"
"Michoacán de Ocampo","14.51"
"Durango","14.43"
"Zacatecas","14.08"
"Guanajuato","11.81"
