"Estado","% Ocupación"
"Aguascalientes","60.40"
"Chihuahua","53.92"
"Ciudad de México","47.75"
"Nuevo León","46.34"
"Durango","45.87"
"Zacatecas","42.30"
"Coahuila de Zaragoza","38.11"
"Querétaro","35.33"
"Oaxaca","31.31"
"México","29.68"
"Baja California","28.47"
"San Luis Potosí","26.69"
"Hidalgo","21.48"
"Sinaloa","20.99"
"Colima","20.20"
"Jalisco","19.66"
"Morelos","18.36"
"Guerrero","17.94"
"Sonora","17.39"
"Michoacán de Ocampo","17.04"
"Tabasco","16.92"
"Tamaulipas","15.51"
"Baja California Sur","14.21"
"Puebla","13.83"
"Veracruz de Ignacio de La Llave","13.64"
"Guanajuato","11.36"
"Yucatán","10.12"
"Tlaxcala","9.92"
"Nayarit","9.41"
"Quintana Roo","6.30"
"Chiapas","1.91"
"Campeche","0.58"
