"Estado","% Ocupación"
"Colima","43.13"
"Ciudad de México","41.32"
"Nuevo León","39.93"
"Aguascalientes","39.90"
"México","30.31"
"Querétaro","29.61"
"Zacatecas","28.20"
"Coahuila de Zaragoza","26.33"
"Baja California","26.08"
"Chihuahua","25.10"
"San Luis Potosí","24.56"
"Sinaloa","24.32"
"Durango","24.24"
"Puebla","24.13"
"Oaxaca","23.52"
"Veracruz de Ignacio de La Llave","22.27"
"Baja California Sur","22.11"
"Hidalgo","22.08"
"Michoacán de Ocampo","21.72"
"Jalisco","20.93"
"Tamaulipas","19.86"
"Quintana Roo","18.18"
"Tabasco","16.83"
"Tlaxcala","16.54"
"Morelos","16.26"
"Guerrero","16.04"
"Yucatán","15.38"
"Nayarit","13.79"
"Sonora","9.56"
"Guanajuato","8.78"
"Chiapas","3.90"
"Campeche","3.67"
