"Estado","% Ocupación"
"Tlaxcala","100.00"
"Colima","83.33"
"Veracruz de Ignacio de La Llave","81.88"
"Nayarit","80.00"
"Ciudad de México","75.91"
"Puebla","74.07"
"Querétaro","73.52"
"Tamaulipas","63.70"
"Sonora","63.51"
"México","63.20"
"Sinaloa","61.61"
"Baja California","61.53"
"Zacatecas","60.00"
"Nuevo León","59.33"
"Yucatán","58.00"
"Durango","57.14"
"Oaxaca","56.31"
"Tabasco","55.55"
"Guanajuato","53.40"
"San Luis Potosí","53.33"
"Quintana Roo","50.00"
"Chiapas","46.58"
"Guerrero","44.44"
"Coahuila de Zaragoza","42.42"
"Chihuahua","40.54"
"Michoacán de Ocampo","35.29"
"Jalisco","32.41"
"Aguascalientes","28.07"
"Morelos","21.25"
"Campeche","14.28"
"Hidalgo","13.18"
"Baja California Sur","7.69"
