"Estado","% Ocupación"
"México","75.13"
"Tlaxcala","75.00"
"Ciudad de México","74.54"
"Querétaro","67.64"
"Sonora","63.33"
"Sinaloa","63.09"
"Veracruz de Ignacio de La Llave","60.74"
"Tabasco","58.86"
"Oaxaca","57.31"
"Colima","57.14"
"Yucatán","54.90"
"Puebla","54.68"
"Baja California","54.16"
"Guerrero","52.38"
"Nuevo León","49.57"
"Morelos","46.00"
"Quintana Roo","45.58"
"Michoacán de Ocampo","41.02"
"San Luis Potosí","40.47"
"Tamaulipas","40.00"
"Guanajuato","38.46"
"Chiapas","37.95"
"Zacatecas","36.36"
"Chihuahua","33.33"
"Jalisco","31.91"
"Durango","31.25"
"Aguascalientes","30.76"
"Coahuila de Zaragoza","29.26"
"Hidalgo","15.85"
"Campeche","15.78"
"Baja California Sur","7.69"
"Nayarit","0.00"
