"Estado","% Ocupación"
"Tlaxcala","87.50"
"Colima","85.71"
"Nuevo León","76.02"
"Ciudad de México","71.71"
"Sonora","71.66"
"Veracruz de Ignacio de La Llave","70.73"
"Puebla","68.75"
"Baja California","67.81"
"Sinaloa","66.25"
"Guerrero","66.05"
"Querétaro","64.70"
"México","63.33"
"Tabasco","56.25"
"Oaxaca","53.57"
"Michoacán de Ocampo","53.48"
"Guanajuato","50.64"
"Yucatán","49.12"
"Quintana Roo","47.76"
"Tamaulipas","47.25"
"Morelos","46.00"
"Durango","42.42"
"Chiapas","40.66"
"Chihuahua","36.58"
"San Luis Potosí","33.33"
"Jalisco","32.20"
"Aguascalientes","28.57"
"Coahuila de Zaragoza","25.00"
"Zacatecas","23.33"
"Campeche","20.00"
"Hidalgo","12.82"
"Baja California Sur","7.69"
"Nayarit","0.00"
