"Estado","% Ocupación"
"Chihuahua","67.41"
"Nuevo León","48.94"
"Durango","48.68"
"Aguascalientes","47.51"
"Ciudad de México","44.59"
"Colima","35.41"
"Coahuila de Zaragoza","35.08"
"Zacatecas","33.33"
"Baja California","31.36"
"Querétaro","30.00"
"México","29.43"
"San Luis Potosí","24.81"
"Michoacán de Ocampo","22.13"
"Baja California Sur","21.69"
"Oaxaca","21.52"
"Nayarit","20.80"
"Sinaloa","20.30"
"Jalisco","20.20"
"Veracruz de Ignacio de La Llave","18.85"
"Tlaxcala","18.46"
"Morelos","17.69"
"Hidalgo","17.10"
"Guerrero","17.09"
"Tamaulipas","15.96"
"Tabasco","15.38"
"Sonora","14.45"
"Puebla","13.24"
"Quintana Roo","12.50"
"Yucatán","12.03"
"Guanajuato","10.10"
"Chiapas","2.62"
"Campeche","0.54"
