"Estado","% Ocupación"
"Querétaro","68.75"
"Aguascalientes","57.14"
"Chihuahua","54.43"
"Zacatecas","53.33"
"Ciudad de México","52.29"
"Nuevo León","51.91"
"Durango","48.27"
"Michoacán de Ocampo","46.80"
"Coahuila de Zaragoza","46.42"
"Tamaulipas","46.42"
"Puebla","46.15"
"Baja California","44.31"
"Yucatán","43.39"
"Nayarit","41.81"
"Oaxaca","39.13"
"México","36.27"
"Guerrero","35.71"
"Jalisco","35.69"
"Tabasco","32.08"
"Veracruz de Ignacio de La Llave","31.78"
"Sinaloa","26.73"
"San Luis Potosí","26.41"
"Tlaxcala","25.00"
"Quintana Roo","24.70"
"Colima","22.22"
"Guanajuato","19.10"
"Sonora","18.07"
"Hidalgo","17.07"
"Morelos","11.25"
"Chiapas","9.09"
"Baja California Sur","8.82"
"Campeche","5.71"
