"Estado","% Ocupación"
"Querétaro","75.00"
"Aguascalientes","55.38"
"Nuevo León","55.18"
"Ciudad de México","54.02"
"Baja California","48.35"
"Nayarit","46.29"
"Zacatecas","45.16"
"Chihuahua","44.26"
"Veracruz de Ignacio de La Llave","43.60"
"Puebla","42.52"
"Oaxaca","42.30"
"Michoacán de Ocampo","39.39"
"México","39.28"
"Yucatán","33.33"
"Tamaulipas","32.14"
"Jalisco","31.84"
"Guerrero","31.25"
"Durango","31.03"
"Sinaloa","26.21"
"Tlaxcala","25.00"
"Sonora","23.80"
"Quintana Roo","21.42"
"Colima","21.05"
"San Luis Potosí","20.95"
"Coahuila de Zaragoza","20.63"
"Tabasco","20.51"
"Guanajuato","20.18"
"Hidalgo","14.43"
"Morelos","12.00"
"Baja California Sur","6.06"
"Chiapas","5.26"
"Campeche","4.54"
