"Estado","% Ocupación"
"Yucatán","65.71"
"Querétaro","65.62"
"Michoacán de Ocampo","41.17"
"Zacatecas","40.00"
"Tabasco","37.50"
"México","35.60"
"Aguascalientes","34.48"
"Ciudad de México","34.37"
"Chihuahua","32.96"
"Oaxaca","27.47"
"Guerrero","26.66"
"Puebla","26.08"
"Durango","23.80"
"Quintana Roo","21.12"
"Tamaulipas","20.35"
"Sinaloa","20.00"
"Veracruz de Ignacio de La Llave","19.17"
"Campeche","17.94"
"Jalisco","16.34"
"Sonora","13.63"
"Guanajuato","12.04"
"Nuevo León","10.48"
"Chiapas","9.43"
"Coahuila de Zaragoza","8.33"
"Hidalgo","8.06"
"San Luis Potosí","7.69"
"Colima","5.26"
"Morelos","3.84"
"Baja California","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
