"Estado","% Ocupación"
"Querétaro","68.75"
"Ciudad de México","60.00"
"Chihuahua","58.33"
"Aguascalientes","54.54"
"Baja California","53.84"
"Durango","53.70"
"Nuevo León","52.60"
"Tamaulipas","43.39"
"Yucatán","42.10"
"Michoacán de Ocampo","40.47"
"Zacatecas","39.28"
"Oaxaca","39.04"
"Veracruz de Ignacio de La Llave","36.11"
"San Luis Potosí","34.61"
"Jalisco","32.02"
"Puebla","30.61"
"Sonora","29.78"
"Tabasco","28.94"
"Guerrero","28.57"
"Sinaloa","27.83"
"Quintana Roo","27.11"
"México","24.75"
"Guanajuato","23.85"
"Hidalgo","22.68"
"Coahuila de Zaragoza","19.14"
"Colima","16.66"
"Chiapas","11.39"
"Morelos","10.00"
"Baja California Sur","6.66"
"Campeche","5.71"
"Nayarit","3.33"
"Tlaxcala","0.00"
