"Estado","% Ocupación"
"Ciudad de México","59.74"
"México","53.38"
"Puebla","53.01"
"Morelos","46.84"
"Oaxaca","40.48"
"Hidalgo","38.53"
"Guanajuato","36.50"
"Guerrero","36.40"
"Querétaro","35.34"
"Veracruz de Ignacio de La Llave","33.92"
"Durango","32.26"
"Michoacán de Ocampo","32.16"
"Nuevo León","29.64"
"Zacatecas","27.50"
"Aguascalientes","26.74"
"Tlaxcala","24.32"
"Jalisco","23.63"
"Colima","23.52"
"Nayarit","23.23"
"Baja California Sur","22.80"
"Sonora","21.60"
"Sinaloa","21.34"
"Tabasco","19.20"
"Quintana Roo","18.15"
"San Luis Potosí","17.89"
"Tamaulipas","15.76"
"Baja California","13.92"
"Coahuila de Zaragoza","12.31"
"Chihuahua","12.02"
"Yucatán","11.80"
"Chiapas","6.42"
"Campeche","3.32"
