"Estado","% Ocupación"
"Ciudad de México","89.19"
"México","81.89"
"Nuevo León","79.52"
"Hidalgo","79.00"
"Guanajuato","78.42"
"Morelos","61.19"
"Puebla","60.91"
"Baja California","57.70"
"Querétaro","54.64"
"Sonora","52.66"
"Oaxaca","52.58"
"Tlaxcala","52.34"
"Nayarit","50.25"
"Coahuila de Zaragoza","47.95"
"Guerrero","45.13"
"Michoacán de Ocampo","44.98"
"Jalisco","44.15"
"Zacatecas","43.96"
"Durango","38.64"
"Veracruz de Ignacio de La Llave","37.06"
"Baja California Sur","35.87"
"Colima","34.44"
"Aguascalientes","33.47"
"Tabasco","32.76"
"Sinaloa","30.88"
"Quintana Roo","30.63"
"Tamaulipas","29.98"
"San Luis Potosí","26.32"
"Chihuahua","21.62"
"Yucatán","11.77"
"Chiapas","7.60"
"Campeche","6.79"
