"Estado","% Ocupación"
"Nayarit","64.80"
"Nuevo León","63.49"
"Coahuila de Zaragoza","56.32"
"Colima","54.25"
"Puebla","48.81"
"Veracruz de Ignacio de La Llave","47.71"
"Hidalgo","43.81"
"Tabasco","43.46"
"México","43.04"
"Ciudad de México","43.04"
"Baja California Sur","42.74"
"Yucatán","42.54"
"Guanajuato","40.97"
"Baja California","38.05"
"Michoacán de Ocampo","37.62"
"Tamaulipas","37.36"
"Quintana Roo","34.29"
"Sinaloa","34.27"
"Oaxaca","33.80"
"Aguascalientes","33.02"
"Guerrero","32.81"
"Zacatecas","32.76"
"Durango","31.94"
"San Luis Potosí","31.21"
"Sonora","30.81"
"Querétaro","28.61"
"Morelos","26.50"
"Jalisco","24.14"
"Chihuahua","21.67"
"Campeche","21.19"
"Chiapas","19.95"
"Tlaxcala","18.46"
