"Estado","% Ocupación"
"Nayarit","68.25"
"Nuevo León","64.37"
"Colima","58.63"
"Hidalgo","53.87"
"Puebla","45.23"
"Coahuila de Zaragoza","44.86"
"Ciudad de México","43.74"
"Michoacán de Ocampo","41.88"
"Baja California Sur","39.61"
"México","38.75"
"Tamaulipas","38.29"
"Veracruz de Ignacio de La Llave","37.79"
"Yucatán","37.61"
"Sinaloa","35.93"
"Zacatecas","34.17"
"Guanajuato","33.91"
"Baja California","33.33"
"Oaxaca","32.80"
"Tabasco","31.46"
"Quintana Roo","31.38"
"Durango","30.90"
"Aguascalientes","30.83"
"San Luis Potosí","29.41"
"Guerrero","28.52"
"Sonora","27.79"
"Morelos","26.89"
"Querétaro","25.88"
"Jalisco","25.19"
"Chihuahua","23.20"
"Campeche","15.15"
"Tlaxcala","15.13"
"Chiapas","11.72"
