"Estado","% Ocupación"
"Ciudad de México","74.19"
"México","74.10"
"Guerrero","64.74"
"Morelos","60.60"
"Chiapas","55.47"
"Tlaxcala","52.84"
"Puebla","49.70"
"Hidalgo","47.95"
"Baja California","46.24"
"Veracruz de Ignacio de La Llave","45.92"
"Tabasco","42.54"
"Sonora","41.01"
"Sinaloa","39.89"
"Nayarit","36.94"
"Oaxaca","36.01"
"Quintana Roo","32.23"
"Colima","29.20"
"Querétaro","28.22"
"Coahuila de Zaragoza","28.12"
"Guanajuato","26.14"
"Chihuahua","25.68"
"Yucatán","24.70"
"Jalisco","22.61"
"Nuevo León","22.29"
"Michoacán de Ocampo","18.81"
"Campeche","18.43"
"Durango","17.13"
"Aguascalientes","12.56"
"Tamaulipas","12.14"
"San Luis Potosí","10.56"
"Baja California Sur","10.20"
"Zacatecas","7.29"
