"Estado","% Ocupación"
"Ciudad de México","90.00"
"México","81.08"
"Nuevo León","75.83"
"Tlaxcala","66.18"
"Aguascalientes","56.36"
"Hidalgo","54.93"
"Puebla","52.15"
"Colima","51.72"
"Querétaro","51.10"
"Baja California","50.71"
"Morelos","49.57"
"Tabasco","48.76"
"Oaxaca","48.63"
"Veracruz de Ignacio de La Llave","47.50"
"Jalisco","46.85"
"San Luis Potosí","46.54"
"Coahuila de Zaragoza","45.23"
"Guanajuato","43.00"
"Zacatecas","40.12"
"Michoacán de Ocampo","39.05"
"Sinaloa","38.91"
"Sonora","37.72"
"Durango","35.77"
"Guerrero","35.00"
"Nayarit","35.00"
"Baja California Sur","34.23"
"Quintana Roo","27.63"
"Yucatán","27.22"
"Chihuahua","25.00"
"Tamaulipas","22.41"
"Chiapas","15.10"
"Campeche","3.87"
