"Estado","% Ocupación"
"Tlaxcala","100.00"
"Colima","100.00"
"Ciudad de México","94.34"
"México","85.71"
"Zacatecas","83.33"
"Nuevo León","83.13"
"Querétaro","74.28"
"Yucatán","71.05"
"Oaxaca","70.37"
"Aguascalientes","68.57"
"Puebla","68.04"
"Tamaulipas","66.25"
"Tabasco","66.03"
"Morelos","64.28"
"Durango","60.00"
"Guanajuato","57.60"
"Veracruz de Ignacio de La Llave","57.31"
"Sinaloa","57.14"
"Jalisco","57.14"
"Nayarit","53.33"
"Quintana Roo","50.87"
"Coahuila de Zaragoza","47.61"
"San Luis Potosí","46.51"
"Sonora","45.31"
"Chihuahua","44.55"
"Hidalgo","43.37"
"Guerrero","43.02"
"Baja California","37.20"
"Michoacán de Ocampo","36.84"
"Baja California Sur","22.22"
"Campeche","15.15"
"Chiapas","10.52"
