"Estado","% Ocupación"
"Nayarit","100.00"
"Tlaxcala","100.00"
"Colima","80.00"
"Nuevo León","75.25"
"Veracruz de Ignacio de La Llave","74.79"
"Querétaro","73.52"
"Ciudad de México","73.04"
"Puebla","65.85"
"Tabasco","65.21"
"México","64.45"
"Baja California","63.52"
"Yucatán","61.22"
"Sinaloa","60.63"
"Zacatecas","60.00"
"Sonora","59.72"
"Guanajuato","57.30"
"Quintana Roo","57.14"
"Oaxaca","51.45"
"Tamaulipas","49.55"
"San Luis Potosí","44.89"
"Coahuila de Zaragoza","41.66"
"Chihuahua","39.43"
"Michoacán de Ocampo","38.77"
"Guerrero","37.38"
"Chiapas","36.61"
"Durango","34.78"
"Aguascalientes","30.90"
"Jalisco","30.02"
"Morelos","21.25"
"Hidalgo","15.05"
"Campeche","8.57"
"Baja California Sur","7.69"
