"Estado","% Ocupación"
"México","63.14"
"Baja California","61.38"
"Ciudad de México","60.99"
"Tlaxcala","50.00"
"Guerrero","49.68"
"Tabasco","49.46"
"Sonora","49.19"
"Puebla","48.04"
"Oaxaca","46.76"
"Sinaloa","44.10"
"Veracruz de Ignacio de La Llave","42.85"
"Chiapas","38.08"
"Querétaro","34.80"
"Morelos","34.23"
"Aguascalientes","33.33"
"Yucatán","30.71"
"Nayarit","30.43"
"San Luis Potosí","27.17"
"Nuevo León","25.95"
"Jalisco","24.71"
"Coahuila de Zaragoza","24.65"
"Campeche","24.61"
"Tamaulipas","24.31"
"Chihuahua","23.07"
"Hidalgo","21.69"
"Colima","19.60"
"Michoacán de Ocampo","18.91"
"Durango","18.08"
"Zacatecas","17.33"
"Quintana Roo","16.22"
"Guanajuato","15.53"
"Baja California Sur","14.81"
