"Estado","% Ocupación"
"Chihuahua","64.87"
"Durango","56.79"
"Nuevo León","52.64"
"Aguascalientes","48.32"
"Ciudad de México","43.64"
"Zacatecas","42.59"
"Coahuila de Zaragoza","38.04"
"Baja California","32.06"
"Querétaro","30.97"
"Oaxaca","30.37"
"México","30.37"
"San Luis Potosí","28.62"
"Sinaloa","23.28"
"Colima","22.54"
"Morelos","21.60"
"Guerrero","20.66"
"Jalisco","20.33"
"Michoacán de Ocampo","20.30"
"Tabasco","20.25"
"Hidalgo","19.67"
"Veracruz de Ignacio de La Llave","18.87"
"Baja California Sur","18.75"
"Tamaulipas","16.77"
"Tlaxcala","16.03"
"Sonora","13.65"
"Puebla","13.14"
"Yucatán","11.57"
"Guanajuato","10.98"
"Nayarit","10.27"
"Quintana Roo","6.97"
"Chiapas","2.11"
"Campeche","1.61"
