"Estado","% Ocupación"
"Baja California Sur","100.00"
"Tlaxcala","87.50"
"México","77.00"
"Ciudad de México","76.40"
"Baja California","75.55"
"Querétaro","72.00"
"Sinaloa","69.76"
"Sonora","66.66"
"Colima","66.66"
"Morelos","60.52"
"Veracruz de Ignacio de La Llave","58.26"
"Puebla","53.96"
"Chiapas","52.74"
"Guerrero","52.23"
"Tabasco","47.36"
"Yucatán","43.63"
"San Luis Potosí","38.88"
"Guanajuato","37.50"
"Oaxaca","37.28"
"Zacatecas","36.36"
"Quintana Roo","36.20"
"Michoacán de Ocampo","35.13"
"Chihuahua","32.46"
"Coahuila de Zaragoza","28.12"
"Jalisco","26.64"
"Nuevo León","20.92"
"Tamaulipas","19.62"
"Aguascalientes","18.86"
"Durango","15.38"
"Hidalgo","12.85"
"Campeche","12.50"
"Nayarit","0.00"
