"Estado","% Ocupación"
"Ciudad de México","72.42"
"México","59.81"
"Guerrero","59.14"
"Baja California","52.28"
"Veracruz de Ignacio de La Llave","44.06"
"Hidalgo","42.50"
"Tabasco","39.65"
"Sinaloa","38.39"
"Morelos","37.45"
"Puebla","36.52"
"Quintana Roo","33.94"
"Nayarit","32.69"
"Chiapas","29.41"
"Yucatán","26.95"
"Tlaxcala","24.35"
"Oaxaca","24.06"
"Chihuahua","22.43"
"Sonora","20.76"
"Querétaro","20.00"
"Nuevo León","18.36"
"Coahuila de Zaragoza","17.91"
"Aguascalientes","16.66"
"Guanajuato","13.87"
"Tamaulipas","12.88"
"Michoacán de Ocampo","12.02"
"Colima","11.11"
"Campeche","10.58"
"Jalisco","10.34"
"San Luis Potosí","9.78"
"Baja California Sur","7.98"
"Durango","6.57"
"Zacatecas","5.81"
