"Estado","% Ocupación"
"Nuevo León","63.22"
"Nayarit","63.21"
"Coahuila de Zaragoza","55.49"
"Colima","51.26"
"Puebla","47.66"
"Veracruz de Ignacio de La Llave","44.82"
"Ciudad de México","44.54"
"Hidalgo","43.69"
"Yucatán","43.66"
"México","41.45"
"Michoacán de Ocampo","40.28"
"Tabasco","39.04"
"Tamaulipas","38.96"
"Guanajuato","38.36"
"Baja California Sur","36.84"
"Quintana Roo","36.27"
"Baja California","36.01"
"Sinaloa","35.20"
"Zacatecas","34.73"
"Oaxaca","33.93"
"Aguascalientes","33.24"
"Guerrero","31.97"
"Durango","29.85"
"San Luis Potosí","29.61"
"Morelos","29.55"
"Sonora","28.22"
"Querétaro","27.09"
"Jalisco","25.24"
"Chihuahua","20.58"
"Chiapas","18.81"
"Campeche","17.47"
"Tlaxcala","16.51"
