"Estado","% Ocupación"
"Tlaxcala","100.00"
"Baja California Sur","100.00"
"México","73.80"
"Baja California","69.76"
"Guerrero","68.75"
"Chiapas","66.66"
"Colima","66.66"
"Querétaro","65.51"
"Sonora","64.58"
"Quintana Roo","61.95"
"Ciudad de México","61.57"
"Morelos","60.71"
"Yucatán","60.00"
"Veracruz de Ignacio de La Llave","59.42"
"Puebla","53.96"
"Oaxaca","47.82"
"Guanajuato","39.43"
"Sinaloa","34.54"
"San Luis Potosí","34.21"
"Chihuahua","33.72"
"Tabasco","32.05"
"Zacatecas","28.57"
"Michoacán de Ocampo","25.71"
"Hidalgo","25.71"
"Durango","25.00"
"Coahuila de Zaragoza","24.00"
"Tamaulipas","20.20"
"Nuevo León","18.72"
"Jalisco","16.54"
"Campeche","4.34"
"Aguascalientes","0.00"
"Nayarit","0.00"
