"Estado","% Ocupación"
"Ciudad de México","62.34"
"Colima","48.78"
"México","47.07"
"Oaxaca","46.47"
"Nuevo León","45.71"
"Tabasco","43.82"
"Tlaxcala","43.38"
"Aguascalientes","41.83"
"Morelos","40.70"
"Jalisco","38.01"
"Veracruz de Ignacio de La Llave","37.59"
"Querétaro","37.53"
"Michoacán de Ocampo","36.29"
"San Luis Potosí","36.12"
"Puebla","32.76"
"Hidalgo","31.37"
"Yucatán","31.21"
"Nayarit","31.20"
"Guerrero","28.33"
"Guanajuato","27.43"
"Baja California","25.39"
"Baja California Sur","25.35"
"Chihuahua","25.19"
"Zacatecas","25.00"
"Durango","23.13"
"Sinaloa","22.63"
"Coahuila de Zaragoza","19.90"
"Sonora","19.14"
"Tamaulipas","12.40"
"Quintana Roo","11.81"
"Chiapas","7.85"
"Campeche","3.78"
