"Estado","% Ocupación"
"Sinaloa","30.50"
"Ciudad de México","28.07"
"México","17.77"
"Chiapas","11.76"
"Hidalgo","11.53"
"Chihuahua","10.21"
"Guerrero","10.00"
"Baja California Sur","10.00"
"Quintana Roo","9.33"
"Campeche","9.09"
"Aguascalientes","8.82"
"Morelos","6.89"
"Baja California","6.84"
"Coahuila de Zaragoza","5.92"
"Veracruz de Ignacio de La Llave","5.50"
"Oaxaca","5.33"
"Michoacán de Ocampo","5.20"
"Tlaxcala","5.12"
"Puebla","3.91"
"Sonora","3.48"
"Nayarit","3.44"
"Nuevo León","3.01"
"Yucatán","3.00"
"Jalisco","2.33"
"Guanajuato","1.98"
"Tabasco","1.92"
"Zacatecas","1.78"
"Querétaro","1.72"
"Tamaulipas","1.63"
"San Luis Potosí","0.42"
"Durango","0.00"
"Colima","0.00"
